name,airtable_name,notion_name,category,signature,tier,paperos_status
CONCAT,CONCATENATE,concat,text,"concat(text, text, ...) -> text",P0,planned
JOIN,ARRAYJOIN,join,array,"join(list, separator) -> text",P0,planned
LEN,LEN,length,text,len(text) -> number,P0,planned
LOWER,LOWER,lower,text,lower(text) -> text,P0,planned
UPPER,UPPER,upper,text,upper(text) -> text,P0,planned
TRIM,TRIM,trim,text,trim(text) -> text,P0,planned
LEFT,LEFT,substring,text,"left(text, count) -> text",P0,planned
RIGHT,RIGHT,substring,text,"right(text, count) -> text",P0,planned
MID,MID,substring,text,"mid(text, start, count) -> text",P0,planned
SUBSTRING,-,substring,text,"substring(text, start, end?) -> text",P1,planned
FIND,FIND,find,text,"find(needle, haystack, start?) -> number",P0,planned
SEARCH,SEARCH,find,text,"search(needle, haystack, start?) -> number | null",P1,planned
REPLACE,REPLACE,replace,text,"replace(text, start, count, replacement) -> text",P1,planned
SUBSTITUTE,SUBSTITUTE,replaceAll,text,"substitute(text, old, new, occurrence?) -> text",P0,planned
REPT,REPT,repeat,text,"rept(text, count) -> text",P1,planned
CONTAINS,-,contains,text,"contains(text, needle) -> boolean",P0,planned
STARTS_WITH,-,test,text,"starts_with(text, prefix) -> boolean",P1,planned
ENDS_WITH,-,test,text,"ends_with(text, suffix) -> boolean",P1,planned
ENCODE_URL_COMPONENT,ENCODE_URL_COMPONENT,-,text,encode_url_component(text) -> text,P1,planned
T,T,-,text,t(value) -> text,P1,planned
VALUE,VALUE,toNumber,number,value(text) -> number,P0,planned
FORMAT,-,format,text,format(value) -> text,P1,planned
FORMAT_NUMBER,-,formatNumber,text,"format_number(number, pattern) -> text",P1,planned
LINK,-,link,text,"link(label, url) -> richtext",P1,planned
STYLE,-,style,text,"style(text, ...styles) -> richtext",P1,planned
UNSTYLE,-,unstyle,text,unstyle(richtext) -> text,P1,planned
MATCH,-,match,text,"match(text, pattern) -> list",P1,planned
TEST,-,test,text,"test(text, pattern) -> boolean",P1,planned
SPLIT,-,split,array,"split(text, separator) -> list",P1,planned
REGEX_MATCH,REGEX_MATCH,test,regex,"regex_match(text, pattern) -> boolean",P2,planned
REGEX_EXTRACT,REGEX_EXTRACT,match,regex,"regex_extract(text, pattern) -> text",P2,planned
REGEX_REPLACE,REGEX_REPLACE,replaceAll,regex,"regex_replace(text, pattern, replacement) -> text",P2,planned
ABS,ABS,abs,number,abs(number) -> number,P0,planned
ROUND,ROUND,round,number,"round(number, digits?) -> number",P0,planned
ROUNDUP,ROUNDUP,ceil,number,"roundup(number, digits?) -> number",P0,planned
ROUNDDOWN,ROUNDDOWN,floor,number,"rounddown(number, digits?) -> number",P0,planned
CEILING,CEILING,ceil,number,"ceiling(number, significance?) -> number",P0,planned
FLOOR,FLOOR,floor,number,"floor(number, significance?) -> number",P0,planned
INT,INT,floor,number,int(number) -> number,P1,planned
MOD,MOD,mod,number,"mod(number, divisor) -> number",P0,planned
POWER,POWER,pow,number,"power(base, exponent) -> number",P0,planned
SQRT,SQRT,sqrt,number,sqrt(number) -> number,P0,planned
CBRT,-,cbrt,number,cbrt(number) -> number,P1,planned
EXP,EXP,exp,number,exp(number) -> number,P1,planned
LOG,LOG,log10,number,"log(number, base?) -> number",P1,planned
LN,-,ln,number,ln(number) -> number,P1,planned
LOG2,-,log2,number,log2(number) -> number,P1,planned
SIGN,-,sign,number,sign(number) -> number,P1,planned
EVEN,EVEN,-,number,even(number) -> number,P1,planned
ODD,ODD,-,number,odd(number) -> number,P1,planned
SUM,SUM,sum,number,"sum(number, ...) -> number",P0,planned
AVERAGE,AVERAGE,mean,number,"average(number, ...) -> number",P0,planned
MEDIAN,-,median,number,"median(number, ...) -> number",P1,planned
MIN,MIN,min,number,"min(number, ...) -> number",P0,planned
MAX,MAX,max,number,"max(number, ...) -> number",P0,planned
COUNT,COUNT,length,number,"count(value, ...) -> number",P0,planned
COUNTA,COUNTA,length,number,"counta(value, ...) -> number",P0,planned
COUNTALL,COUNTALL,length,number,"countall(value, ...) -> number",P1,planned
PI,-,pi,number,pi() -> number,P1,planned
E,-,e,number,e() -> number,P1,planned
IF,IF,if,logic,"if(condition, then, else) -> any",P0,planned
IFS,-,ifs,logic,"ifs(condition, then, ..., else) -> any",P1,planned
SWITCH,SWITCH,ifs,logic,"switch(expr, pattern, result, ..., default?) -> any",P0,planned
AND,AND,and,logic,"and(boolean, ...) -> boolean",P0,planned
OR,OR,or,logic,"or(boolean, ...) -> boolean",P0,planned
NOT,NOT,not,logic,not(boolean) -> boolean,P0,planned
XOR,XOR,-,logic,"xor(boolean, ...) -> boolean",P1,planned
TRUE,TRUE,true,logic,true() -> boolean,P0,planned
FALSE,FALSE,false,logic,false() -> boolean,P0,planned
BLANK,BLANK,empty,logic,blank() -> null,P0,planned
IS_EMPTY,-,empty,logic,is_empty(value) -> boolean,P0,planned
ISERROR,ISERROR,-,logic,iserror(value) -> boolean,P1,planned
ERROR,ERROR,-,logic,error(message?) -> error,P1,planned
EQUAL,-,equal,logic,"equal(a, b) -> boolean",P0,planned
UNEQUAL,-,unequal,logic,"unequal(a, b) -> boolean",P1,planned
NOW,NOW,now,date,now() -> datetime,P0,planned
TODAY,TODAY,today,date,today() -> date,P0,planned
DATEADD,DATEADD,dateAdd,date,"dateadd(date, count, unit) -> datetime",P0,planned
DATESUBTRACT,DATEADD,dateSubtract,date,"datesubtract(date, count, unit) -> datetime",P1,planned
DATETIME_DIFF,DATETIME_DIFF,dateBetween,date,"datetime_diff(a, b, unit) -> number",P0,planned
DATETIME_FORMAT,DATETIME_FORMAT,formatDate,date,"datetime_format(date, pattern) -> text",P0,planned
DATETIME_PARSE,DATETIME_PARSE,parseDate,date,"datetime_parse(text, pattern?) -> datetime",P1,planned
DATESTR,DATESTR,formatDate,date,datestr(date) -> text,P1,planned
TIMESTR,TIMESTR,formatDate,date,timestr(date) -> text,P1,planned
YEAR,YEAR,year,date,year(date) -> number,P0,planned
MONTH,MONTH,month,date,month(date) -> number,P0,planned
DAY,DAY,day,date,day(date) -> number,P0,planned
