id,category,feature,airtable,notion,clickup,baserow,nocodb,paperos_issue,paperos_status,tier,notes,source
VT-001,view-types,Grid / table view,yes,yes,yes,yes,yes,PAP-341,planned,P0,"Airtable grid, Notion table, ClickUp Table, Baserow GridViewType, NocoDB GRID=3.",https://support.airtable.com/docs/getting-started-with-airtable-views (accessed 2026-09-19)
VT-002,view-types,"List view (dense rows, phone-first)",yes,yes,yes,no,yes,PAP-619,planned,P0,ClickUp List is its default task view; NocoDB LIST=7.,https://clickup.com/features/views (accessed 2026-09-19)
VT-003,view-types,Kanban / board view,yes,yes,yes,paid,yes,PAP-167,planned,P0,Baserow KanbanViewType lives in baserow_premium.,https://gitlab.com/baserow/baserow/-/raw/develop/premium/backend/src/baserow_premium/views/view_types.py (accessed 2026-09-19)
VT-004,view-types,Calendar view,yes,yes,yes,paid,yes,PAP-344,planned,P0,Baserow CalendarViewType is premium; NocoDB CALENDAR=6.,https://gitlab.com/baserow/baserow/-/raw/develop/premium/backend/src/baserow_premium/views/view_types.py (accessed 2026-09-19)
VT-005,view-types,Timeline view,yes,yes,yes,paid,yes,PAP-345,planned,P0,Airtable timeline is a paid-plan view; Baserow TimelineViewType is premium.,https://gitlab.com/baserow/baserow/-/raw/develop/premium/backend/src/baserow_premium/views/view_types.py (accessed 2026-09-19)
VT-006,view-types,Gantt view with dependencies,yes,no,yes,partial,yes,PAP-346,planned,P0,Baserow timeline covers bars but not dependency arrows; NocoDB GANTT=9.,https://raw.githubusercontent.com/nocodb/nocodb/develop/packages/nocodb-sdk/src/lib/globals.ts (accessed 2026-09-19)
VT-007,view-types,Gallery / card view,yes,yes,no,yes,yes,PAP-619,planned,P0,ClickUp has no gallery; cards live on Board.,https://gitlab.com/baserow/baserow/-/raw/develop/backend/src/baserow/contrib/database/views/view_types.py (accessed 2026-09-19)
VT-008,view-types,Form view,yes,yes,yes,yes,yes,PAP-620,planned,P0,Baserow FormViewType; NocoDB FORM=1.,https://gitlab.com/baserow/baserow/-/raw/develop/backend/src/baserow/contrib/database/views/view_types.py (accessed 2026-09-19)
VT-009,view-types,Map view,paid,no,yes,no,yes,PAP-622,planned,P0,Airtable map is an extension on paid plans; NocoDB MAP=5.,https://raw.githubusercontent.com/nocodb/nocodb/develop/packages/nocodb-sdk/src/lib/globals.ts (accessed 2026-09-19)
VT-010,view-types,Chart view,paid,yes,no,paid,no,PAP-621,planned,P0,Notion ships a Chart layout; Airtable charts are extensions / interfaces.,https://www.notion.com/help/views-filters-and-sorts (accessed 2026-09-19)
